province,city_or_municipality,position,name,nickname,party_affiliation,votes_obtained
Aklan,Altavas,Mayor,"Refol, Kathryne Bulacan",Bebot,Lakas-Kampi,6111
Aklan,Altavas,Mayor,"Cordero, Noemi Calizo",Bubut,-,7243
Aklan,Altavas,Vice-Mayor,"Gervacio, Guillermo Dalida",Mimi,Lakas-Christian Muslim Democrats,5980
Aklan,Altavas,Councilor,"David, Rodelle John Lim",Cano,Lakas-Kampi,4133
Aklan,Altavas,Councilor,"Gregorio, Adrian Mac Refol",Bebot,Lakas-Kampi,4144
Aklan,Altavas,Councilor,"Dalida, Donald Pador",Donald,Nacionalista Party,4305
Aklan,Altavas,Councilor,"Celestino, Alfredo Agustin",Panit,Lakas-Christian Muslim Democrats,4350
Aklan,Altavas,Councilor,"Solita, Joly Andres",Toto,Lakas-Christian Muslim Democrats,5150
Aklan,Altavas,Councilor,"Basea, Jun-Jun  Anzon",Jun,-,3912
Aklan,Altavas,Councilor,"Villas, Jonathan Son",Athan,Lakas-Kampi,5181
Aklan,Altavas,Councilor,"Inocencio, Confesor Alvero",Confe,Lakas-Christian Muslim Democrats,4000
Aklan,Balete,Vice-Mayor,"Rodriguez, Rizal Jr. Gonzales",Ric,Nacionalista Party,7429
Aklan,Balete,Councilor,"Villanueva, Evelyn Victoriano",Nene,Nacionalista Party,6291
Aklan,Balete,Councilor,"Balleza, Paulino Jr. Poblador",Paul,Nacionalista Party,4737
Aklan,Balete,Councilor,"Bantigue, Inocentes Jr. Fernandez",Nono,Nacionalista Party,5633
Aklan,Balete,Councilor,"Cuales, Angeles Iguban",Angie,United Nationalist Alliance,5626
Aklan,Balete,Councilor,"Lachica, Cipriano Legaspi",Peri,Nacionalista Party,5506
Aklan,Balete,Councilor,"Feliciano, Ciriaco Tolentino",Acoy,Nacionalista Party,5276
Aklan,Balete,Councilor,"Requero, Elvis Sarabia",Bobby,Nacionalista Party,5241
Aklan,Balete,Councilor,"Recidoro, Peter Cariscal",Pete,Nacionalista Party,5145
Aklan,Banga,Mayor,"Maming, Antonio Tuma-Ob",Antong,Nacionalista Party,7336
Aklan,Banga,Vice-Mayor,"Rentillo, Melanio Jr. Malacaman",Milan,-,5501
Aklan,Banga,Councilor,"Redison, Noel Lipana",Boy,Lakas-Kampi,4305
Aklan,Banga,Councilor,"Piolo, Rosemarie Seraspi",Rose,United Opposition,4267
Aklan,Banga,Councilor,"Morales, Jonna Iguban",Torres,-,5515
Aklan,Banga,Councilor,"Macahilig, Stanley Leigh Gonzales",Toto,Liberal Party,4386
Aklan,Banga,Councilor,"Rata, Josel Manzanares",Sel,Lakas-Kampi,4972
Aklan,Banga,Councilor,"Seraspi, Vicente Jr. Rodrigo",Tibo,Lakas-Christian Muslim Democrats,4844
Aklan,Banga,Councilor,"Sta Maria, Rodolfo Roque",Rudy,Lakas-Kampi,4506
Aklan,Banga,Councilor,"Guarino, Gelacio Rebaldo",Lasyo,Liberal Party,5224
Aklan,Batan,Mayor,"Ramos, Delfina Romo",Nene,Lakas-Kampi,8547
Aklan,Batan,Vice-Mayor,"Demeterio, Jayner Laurente",Bodong,Lakas-Christian Muslim Democrats,7855
Aklan,Batan,Councilor,"Placer, Medardo Salazar",Medard,Liberal Party,3687
Aklan,Batan,Councilor,"Salvador, Norberto Parco",Norbing,Lakas-Kampi,3954
Aklan,Batan,Councilor,"Sarceno, Adonis Balbino",Nis,Lakas-Kampi,4785
Aklan,Batan,Councilor,"Sugapong, Gloria Pacis",Dede,Lakas-Christian Muslim Democrats,4789
Aklan,Batan,Councilor,"Salazar, Jairus Concepcion",Dongdong,Lakas-Christian Muslim Democrats,5114
Aklan,Batan,Councilor,"Bautista, William De Pedro",Toto,Lakas-Christian Muslim Democrats,5253
Aklan,Batan,Councilor,"Fulgencio , Eugenio JB Jr. Sucgang",Jb,Lakas-Christian Muslim Democrats,5281
Aklan,Batan,Councilor,"Cortes, Cezar Concepcion",Cezar,Lakas-Kampi,5587
Aklan,Buruanga,Mayor,"Labindao, Quezon Franco",Engineer Quezon,Lakas-Kampi,3972
Aklan,Buruanga,Vice-Mayor,"Obrique, Dexterio Salido",Dex,-,3947
Aklan,Buruanga,Councilor,"Dagohoy , Allan Prado",Nonoy Allan,Lakas-Kampi,3259
Aklan,Buruanga,Councilor,"Obrique, Robert Melgarejo",Boy Tasyong,United Opposition,2522
Aklan,Buruanga,Councilor,"Iguiron, Renato Labindao",Atoy,Lakas-Kampi,2673
Aklan,Buruanga,Councilor,"Prado, Nelson Sr. Acosta",Nelson Otoy,Lakas-Christian Muslim Democrats,2922
Aklan,Buruanga,Councilor,"Prado, Rene Samar",Boy Rene,United Opposition,3074
Aklan,Buruanga,Councilor,"Malayas, Joeven Quinones",Joeven,United Opposition,3143
Aklan,Buruanga,Councilor,"Sualog, Benito Jr. Patricio",Nonoy Benito,United Opposition,3190
Aklan,Buruanga,Councilor,"Sualog, Victor Brian Delos Reyes",Wawang,Lakas-Christian Muslim Democrats,3438
Aklan,Ibajay,Mayor,"Miraflores, Ma Lourdes Martin",Lulu,Lakas-Kampi,9631
Aklan,Ibajay,Vice-Mayor,"Santa Maria, Nelson Dalisay",Sm,Lakas-Kampi,11962
Aklan,Ibajay,Councilor,"Ascano, Mabini Mangilaya",Benny,Lakas-Kampi,7765
Aklan,Ibajay,Councilor,"Solidum, Plaridel Mangilaya",Larry,Lakas-Kampi,9696
Aklan,Ibajay,Councilor,"Orencio, Ainor Dailisan",Nor,Lakas-Kampi,6101
Aklan,Ibajay,Councilor,"Tabanar, Beldad Soledad",Nene,-,6162
Aklan,Ibajay,Councilor,"Garcia, Victor Manuel Minfort",Vic,Lakas-Kampi,6275
Aklan,Ibajay,Councilor,"Maagma, Salvador Salido",Saldy,Lakas-Kampi,7388
Aklan,Ibajay,Councilor,"Belinario, Tadeo Mangilog",-,Lakas-Kampi,6054
Aklan,Ibajay,Councilor,"Alag, Ariel Masangkay",Aying,Lakas-Kampi,7620
Aklan,Kalibo,Mayor,"Rebaldo, Raymar Acevedo",Boyet,-,13468
Aklan,Kalibo,Vice-Mayor,"Tambong, Nilda Buyoc",Nil,-,16856
Aklan,Kalibo,Councilor,"Reyes, Ronce Malic",Toto,-,9245
Aklan,Kalibo,Councilor,"Quimpo, Mark Vega",Mark,-,14320
Aklan,Kalibo,Councilor,"Tirol, Lilian Quimpo",Baby,-,12710
Aklan,Kalibo,Councilor,"Lao, Peter Jene Nidula",Boy,-,10805
Aklan,Kalibo,Councilor,"Malapad, Gregorio Jr. Reyes",Greg,-,11781
Aklan,Kalibo,Councilor,"Regalado, Madeline Ang",Mads,-,11993
Aklan,Kalibo,Councilor,"Dela Cruz, Emmanuel Soviet Russia Aguirre",Soviet,-,12545
Aklan,Kalibo,Councilor,"Villanueva, Buencamino Fernandez",Mino,-,9160
Aklan,Lezo,Mayor,"Fernandez, Victor Leyson",Vic,Lakas-Kampi,3269
Aklan,Lezo,Vice-Mayor,"Buenaflor, Philip John Bernaldo",Philip,Liberal Party,3036
Aklan,Lezo,Councilor,"Revestir, Arnold Legaspi",Nold,Lakas-Kampi,2518
Aklan,Lezo,Councilor,"Taran, Rodulfo Macahito",Ompong,Lakas-Kampi,2551
Aklan,Lezo,Councilor,"Arcenio, Conrado Mostajo",Toto,Nacionalista Party,2571
Aklan,Lezo,Councilor,"Villarubia, George Rescate",George,Lakas-Christian Muslim Democrats,2660
Aklan,Lezo,Councilor,"Sabar, Lucrecia Lirio",Lucring,Lakas-Christian Muslim Democrats,2679
Aklan,Lezo,Councilor,"Motus, Serafin Jr. De Jose",Junior,Lakas-Kampi,2474
Aklan,Lezo,Councilor,"Baldomero, Fernando Ingeniero",Nanding,Lakas-Christian Muslim Democrats,2487
Aklan,Lezo,Councilor,"Ibabao, Webster Apolonio Roldan",Webster,Lakas-Christian Muslim Democrats,2679
Aklan,Libacao,Mayor,"Fernandez, Victor Leyson",Vic,Lakas-Kampi,3269
Aklan,Libacao,Vice-Mayor,"Buenaflor, Philip John Bernaldo",Philip,Liberal Party,3036
Aklan,Libacao,Councilor,"Revestir, Arnold Legaspi",Nold,Lakas-Kampi,2518
Aklan,Libacao,Councilor,"Taran, Rodulfo Macahito",Ompong,Lakas-Kampi,2551
Aklan,Libacao,Councilor,"Arcenio, Conrado Mostajo",Toto,Nacionalista Party,2571
Aklan,Libacao,Councilor,"Villarubia, George Rescate",George,Lakas-Christian Muslim Democrats,2660
Aklan,Libacao,Councilor,"Sabar, Lucrecia Lirio",Lucring,Lakas-Christian Muslim Democrats,2679
Aklan,Libacao,Councilor,"Motus, Serafin Jr. De Jose",Junior,Lakas-Kampi,2474
Aklan,Libacao,Councilor,"Baldomero, Fernando Ingeniero",Nanding,Lakas-Christian Muslim Democrats,2487
Aklan,Libacao,Councilor,"Ibabao, Webster Apolonio Roldan",Webster,Lakas-Christian Muslim Democrats,2679
Aklan,Madalag,Mayor,"Gubatina, Rex Tupas",Rex,Lakas-Kampi,4255
Aklan,Madalag,Vice-Mayor,"Inosanto, Orlando Rebustes",Lando,Lakas-Christian Muslim Democrats,4579
Aklan,Madalag,Councilor,"Inosanto, Fanny Nadua",Fanny,Lakas-Christian Muslim Democrats,3047
Aklan,Madalag,Councilor,"Gonzales, Decarth Namayan",Panoy,Lakas-Kampi,3178
Aklan,Madalag,Councilor,"Cometa, Hannibal Nabor",Dongdong,Liberal Party,2953
Aklan,Madalag,Councilor,"Niduelan, Fermin Nabor",Boy,Nacionalista Party,2789
Aklan,Madalag,Councilor,"Navarrete, Mauricio Nedic",Boknoy,Nacionalista Party,2950
Aklan,Madalag,Councilor,"Roa, Patricio Jr. Itulid",Bogot,Lakas-Christian Muslim Democrats,2980
Aklan,Madalag,Councilor,"Padalhin, John Castro",Bong,Lakas-Christian Muslim Democrats,3079
Aklan,Madalag,Councilor,"Agapito, Jomie Villorente",Omye,Lakas-Kampi,2830
Aklan,Makato,Mayor,"Legaspi, Ramon Jr. Salazar",Jun,Lakas-Kampi,7329
Aklan,Makato,Vice-Mayor,"Tapuz, Nelson Torcuator",Bok,Lakas-Kampi,5215
Aklan,Makato,Councilor,"Torrenueva, Jose Danilo Maayon",Danny,Liberal Party,4070
Aklan,Makato,Councilor,"Ta-Ay, Dino Patrick Villanueva",Dino,Lakas-Christian Muslim Democrats,4341
Aklan,Makato,Councilor,"Custodio, Rexes Murias",Toto Rex,-,4536
Aklan,Makato,Councilor,"Roldan, Apollo Villanueva",Apol,-,5514
Aklan,Makato,Councilor,"Tabernilla, Basilides Tagle",Basil,-,5587
Aklan,Makato,Councilor,"Dela Cena, Nerli Fermalino",Nene,-,6021
Aklan,Makato,Councilor,"Lumbre, Roger Rollan",Boy Magic,-,6430
Aklan,Makato,Councilor,"Legaspi, Bobby Clyde Maravilla",Bob,Lakas-Kampi,4940
Aklan,Malay,Mayor,"Cawaling, Ceciron Sacapano",Dodong Ceron,Nacionalista Party,7605
Aklan,Malay,Vice-Mayor,"Yap, John  Parcon",Jun,Lakas-Kampi,7708
Aklan,Malay,Councilor,"Pagsuguiron, Dante Colesio",Boy,Lakas-Kampi,4766
Aklan,Malay,Councilor,"Villanueva, Charlie Delos Santos",Nonoy Ago,United Opposition,4876
Aklan,Malay,Councilor,"Prado, Cristina Cahilig",Esting,United Opposition,4949
Aklan,Malay,Councilor,"Aguirre, Rowen Tajaran",Nonoy Rowen,Liberal Party,4968
Aklan,Malay,Councilor,"Flores, Esel Licerio",Nono,Laban ng Demokratikong Pilipino,5425
Aklan,Malay,Councilor,"Sinel, Gideon Tayco",Otoy,United Opposition,5528
Aklan,Malay,Councilor,"Gelito, Wilbec Miralles",Wilbec,Nacionalista Party,5602
Aklan,Malay,Councilor,"Tayco, Mateo Anario",Dodoy,Lakas-Kampi,4460
Aklan,Malinao,Mayor,"Ilio, Dominador Jr. Yerro",Joji,Lakas-Kampi,5851
Aklan,Malinao,Vice-Mayor,"Iguban, Rosie Ilejay",Rosie,Lakas-Christian Muslim Democrats,7161
Aklan,Malinao,Councilor,"Agustino, Eleanor Garcia",Bahoe,Lakas-Christian Muslim Democrats,5425
Aklan,Malinao,Councilor,"Yerro, John Ruen  Ildesa",Jon-Jon,Lakas-Kampi,5545
Aklan,Malinao,Councilor,"Iquina, Richard Iledan",Chad,Lakas-Christian Muslim Democrats,4951
Aklan,Malinao,Councilor,"Yabut, Zacarias Magdael",Cari,Lakas-Christian Muslim Democrats,4835
Aklan,Malinao,Councilor,"Iscala, Junito Isuga",Jun,Lakas-Kampi,4923
Aklan,Malinao,Councilor,"Quinisio, Raul Retome",Cap,Lakas-Kampi,4685
Aklan,Malinao,Councilor,"Igoy, Wilbert Ariel Imperial",Ariel,Lakas-Christian Muslim Democrats,7185
Aklan,Malinao,Councilor,"Iquina, Josephine Iguban",Jojo,Lakas-Kampi,5200
Aklan,Nabas,Mayor,"Dalisay, Romeo Mercurio",Lolong,Lakas-Kampi,6475
Aklan,Nabas,Vice-Mayor,"Solanoy, James Villanueva",James,Lakas-Christian Muslim Democrats,4913
Aklan,Nabas,Councilor,"Lasaleta, Maria Fe Taunan",Nene,-,4574
Aklan,Nabas,Councilor,"Palomata, Vincent Demafelis",Toto,-,4306
Aklan,Nabas,Councilor,"Zaldivar, Amideo Magallanes",Meding,-,4252
Aklan,Nabas,Councilor,"Santillan-Pascua, Flochebel Ann Fuentes",Che-Che Santillan,-,4306
Aklan,Nabas,Councilor,"Anipan, Expedito Secreto",X,-,3933
Aklan,Nabas,Councilor,"Dalayday, Mabini Gelito",Nono,-,4015
Aklan,Nabas,Councilor,"De Asis, Ricardito Gregorio",Longlong,-,4083
Aklan,Nabas,Councilor,"Tipgos, Rhuna Flores",Neneng Onak,-,4382
Aklan,New Washington,Mayor,"Peralta, Edgar Rogando",Ed,Lakas-Christian Muslim Democrats,8564
Aklan,New Washington,Vice-Mayor,"Velarde, Jean Tejada",Nene,Lakas-Kampi,9548
Aklan,New Washington,Councilor,"Quimpo, Jesus Belonio",Molot,Lakas-Kampi,7028
Aklan,New Washington,Councilor,"Dela Cruz, Celia Carpio",Cel,Lakas-Christian Muslim Democrats,5854
Aklan,New Washington,Councilor,"Velarde, Estrella Estrella",Neneng,Liberal Party,5882
Aklan,New Washington,Councilor,"Perucho, Rodolfo Dalida",Tiboy,Lakas-Kampi,6293
Aklan,New Washington,Councilor,"Andrade, Alberto Mesina",Abe,Nacionalista Party,6517
Aklan,New Washington,Councilor,"Cayetano, Ruperto Ilidan",Ruping,Nacionalista Party,5449
Aklan,New Washington,Councilor,"Regalado, Tita Bautista",Nene,Lakas-Kampi,5570
Aklan,New Washington,Councilor,"Repiano, Junie  Delos Santos",Jun,Lakas-Christian Muslim Democrats,5732
Aklan,Numancia,Mayor,"Templonuevo, Elverita Tejada",Elvie,-,7001
Aklan,Numancia,Vice-Mayor,"Ibabao, Evangeline Maypa",Gelly,-,6045
Aklan,Numancia,Councilor,"Cordova, Bayani Mostajo",Jojo,Nacionalista Party,6342
Aklan,Numancia,Councilor,"Mansayon, Felipe Custodio",Epi,Nacionalista Party,6045
Aklan,Numancia,Councilor,"Macahilas, Ernesto Milloroso",Boy M,Nacionalista Party,5952
Aklan,Numancia,Councilor,"Magnabijon, Benjamin Salazar",Ben,Lakas-Kampi,7355
