LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,UNEMPFORECAST,TOT,PC_LF,A,1964,1.381359296,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1965,1.255911222,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1966,1.551046357,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1967,1.864880593,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1968,1.807997436,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1969,1.801933748,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1970,1.638373211,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1971,1.889747817,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1972,2.589617155,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1973,2.294517067,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1974,2.656919621,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1975,4.878655403,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1976,4.749998372,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1977,5.604134492,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1978,6.290086178,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1979,6.264901956,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1980,6.10515267,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1981,5.783625046,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1982,7.162635696,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1983,9.961379063,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1984,8.986804406,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1985,8.258136176,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1986,8.080571179,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1987,8.106395169,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1988,7.225808348,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1989,6.174987972,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1990,6.925963771,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1991,9.57923001,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1992,10.72876757,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1993,10.87377309,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1994,9.718678641,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1995,8.469256285,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1996,8.506213186,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1997,8.362230095,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1998,7.675597441,
AUS,UNEMPFORECAST,TOT,PC_LF,A,1999,6.872333761,
AUS,UNEMPFORECAST,TOT,PC_LF,A,2000,6.282619134,
AUS,UNEMPFORECAST,TOT,PC_LF,A,2001,6.742314544,
AUS,UNEMPFORECAST,TOT,PC_LF,A,2002,6.367617339,
AUS,UNEMPFORECAST,TOT,PC_LF,A,2003,5.928697905,
AUS,UNEMPFORECAST,TOT,PC_LF,A,2004,5.394725774,
AUS,UNEMPFORECAST,TOT,PC_LF,A,2005,5.032480197,
AUS,UNEMPFORECAST,TOT,PC_LF,A,2006,4.782292291,
AUS,UNEMPFORECAST,TOT,PC_LF,A,2007,4.376954164,
AUS,UNEMPFORECAST,TOT,PC_LF,A,2008,4.234158386,
AUS,UNEMPFORECAST,TOT,PC_LF,A,2009,5.560666223,
AUS,UNEMPFORECAST,TOT,PC_LF,A,2010,5.211326244,
